구,동,X,Y,age_score,population_score,cost_score,subway_score,bus_score,car_score,store_score
마포구,합정동,126.909,37.54696,0.4294,0.2973,0.2059,0.2857,0.3736,0.3175,0.0757
마포구,망원1동,126.8998,37.55362,0.5,0.3458,0.1322,0.0,0.1648,0.2673,0.0723
마포구,망원2동,126.9002,37.55899,0.4882,0.3222,0.1529,0.0,0.4176,0.2128,0.0331
마포구,연남동,126.9215,37.56302,0.4235,0.2708,0.1655,0.0,0.3297,0.3266,0.1199
마포구,성산1동,126.9118,37.562,0.4588,0.3452,0.1344,0.0,0.4615,0.3371,0.0283
마포구,성산2동,126.902,37.56833,0.4118,0.7144,0.2672,0.2857,0.3956,0.1706,0.0362
마포구,상암동,126.8799,37.57073,0.3235,0.5519,0.3869,0.2857,0.3956,0.1131,0.0755
마포구,도화동,126.9491,37.53864,0.5,0.3795,0.398,0.4286,0.3956,0.0789,0.0447
마포구,서강동,126.926,37.54673,0.3118,0.4634,0.421,0.2857,0.5385,0.231,0.0599
마포구,공덕동,126.9579,37.54932,0.4765,0.6779,0.3661,0.2857,0.2308,0.1597,0.0532
마포구,아현동,126.9527,37.55183,0.2588,0.5463,0.5897,0.2857,0.0659,0.0339,0.029
양천구,목1동,126.8744,37.52752,0.2176,0.5551,0.6705,0.2857,0.2088,0.0654,0.1132
양천구,목2동,126.8743,37.54363,0.4353,0.5214,0.2153,0.2857,0.2637,0.3266,0.0243
양천구,목3동,126.8656,37.54517,0.5,0.3858,0.1884,0.1429,0.1319,0.2295,0.0297
양천구,목4동,126.867,37.53535,0.4,0.4417,0.2495,0.0,0.2857,0.2795,0.0292
양천구,신월1동,126.8345,37.53127,0.7471,0.3475,0.0241,0.0,0.1099,0.293,0.0349
양천구,신월2동,126.8463,37.52342,0.5529,0.379,0.118,0.0,0.1319,0.1438,0.0115
양천구,신월3동,126.8275,37.53245,0.6824,0.2556,0.01,0.0,0.0879,0.1381,0.0105
양천구,신월4동,126.8399,37.52216,0.5588,0.3114,0.1015,0.0,0.1538,0.1177,0.0186
양천구,신월5동,126.8294,37.5409,0.5412,0.2528,0.097,0.0,0.1978,0.1685,0.0159
양천구,신월6동,126.8422,37.51598,0.3118,0.2512,0.1424,0.0,0.1758,0.0399,0.0107
양천구,신월7동,126.8306,37.51905,0.7471,0.334,0.046,0.0,0.2967,0.1506,0.0154
양천구,신정1동,126.8597,37.51891,0.3176,0.3614,0.5537,0.0,0.4066,0.0557,0.0266
양천구,신정2동,126.8748,37.51941,0.3706,0.34,0.4934,0.0,0.1758,0.069,0.0213
양천구,신정3동,126.8411,37.51181,0.4471,0.8883,0.1991,0.1429,0.3956,0.1368,0.0154
양천구,신정6동,126.8698,37.51588,0.2824,0.44,0.6173,0.0,0.2527,0.0122,0.0038
양천구,신정7동,126.8654,37.50988,0.5176,0.5156,0.3749,0.1429,0.2527,0.0287,0.0129
양천구,목5동,126.8799,37.53605,0.2353,0.7519,0.7307,0.0,0.1978,0.0154,0.0202
양천구,신정4동,126.8576,37.52541,0.5647,0.5897,0.0959,0.1429,0.1758,0.5293,0.0714
강서구,염창동,126.8718,37.55455,0.2176,0.7629,0.3811,0.0,0.2308,0.1081,0.0261
강서구,등촌1동,126.8596,37.55586,0.2882,0.4643,0.2299,0.1429,0.2308,0.124,0.0434
강서구,등촌2동,126.86,37.54584,0.4882,0.3521,0.2355,0.0,0.033,0.2079,0.0101
강서구,등촌3동,126.8462,37.5612,0.7176,0.5339,0.2451,0.1429,0.5385,0.0578,0.0651
강서구,화곡본동,126.8481,37.54263,0.4353,0.5977,0.0563,0.0,0.3187,0.5199,0.0331
강서구,화곡2동,126.8544,37.53226,0.5059,0.3114,0.0538,0.0,0.3077,0.2785,0.0094
강서구,화곡3동,126.8343,37.54399,0.5588,0.3836,0.1942,0.0,0.2198,0.2136,0.0304
강서구,화곡4동,126.8586,37.53608,0.6294,0.3563,0.061,0.0,0.2967,0.3613,0.0356
강서구,화곡6동,126.8512,37.55172,0.4176,0.4765,0.1769,0.0,0.3516,0.2988,0.0518
강서구,화곡8동,126.8488,37.53426,0.5706,0.4236,0.0703,0.0,0.3187,0.3571,0.028
강서구,가양1동,126.8347,37.57166,0.2059,0.6246,0.2746,0.4286,0.3846,0.1253,0.1517
강서구,가양2동,126.8544,37.56677,0.9529,0.238,0.1815,0.0,0.2527,0.0094,0.0066
강서구,가양3동,126.8611,37.56081,0.7882,0.2479,0.1781,0.0,0.1538,0.0102,0.0029
강서구,발산1동,126.8253,37.55051,0.3471,0.6504,0.2054,0.1429,0.8571,0.198,0.0676
강서구,공항동,126.7946,37.55582,0.3235,0.5414,0.1499,0.2857,0.2967,0.3701,0.0371
강서구,방화1동,126.8176,37.56861,0.4176,0.7363,0.2459,0.2857,1.0,0.2477,0.047
강서구,방화2동,126.804,37.58271,0.6353,0.4264,0.1145,1.0,0.1429,0.3006,0.0697
강서구,방화3동,126.8176,37.58212,0.7294,0.3968,0.1776,0.1429,0.1978,0.0617,0.0105
강서구,화곡1동,126.8409,37.53377,0.4882,0.9401,0.0726,0.2857,0.2088,0.6687,0.0813
강서구,우장산동,126.8411,37.55061,0.3294,0.8142,0.3827,0.1429,0.2747,0.2454,0.0281
구로구,신도림동,126.8822,37.51003,0.3,0.6682,0.4286,0.4286,0.4505,0.0565,0.0537
구로구,구로1동,126.8754,37.49314,0.3235,0.3753,0.2384,0.0,0.4066,0.0164,0.0076
구로구,구로3동,126.8949,37.48487,0.4,0.4543,0.1483,0.2857,0.4066,0.1005,0.0997
구로구,구로4동,126.8903,37.49161,0.7588,0.4038,0.0973,0.1429,0.4176,0.0636,0.0608
구로구,구로5동,126.8886,37.50199,0.4529,0.5804,0.2093,0.1429,0.2747,0.2185,0.09
구로구,고척1동,126.8637,37.50071,0.4412,0.4901,0.1641,0.0,0.3407,0.1256,0.0374
구로구,고척2동,126.8535,37.50589,0.6353,0.4699,0.1472,0.0,0.3956,0.3019,0.0281
구로구,개봉2동,126.8565,37.49257,0.6471,0.5517,0.1822,0.0,0.3846,0.2212,0.0169
구로구,개봉3동,126.8522,37.48654,0.7059,0.3566,0.0777,0.0,0.2527,0.2402,0.019
구로구,오류1동,126.8416,37.49687,0.4765,0.4304,0.0894,0.1429,0.3187,0.1448,0.0237
구로구,수궁동,126.826,37.49844,0.6235,0.4145,0.1096,0.2857,0.4286,0.2034,0.013
구로구,가리봉동,126.8881,37.48269,0.7059,0.2293,0.0446,0.0,0.3956,0.0933,0.0304
구로구,구로2동,126.8799,37.49688,0.8059,0.5277,0.0666,0.1429,0.2747,0.3006,0.0662
구로구,개봉1동,126.8491,37.5,0.5765,0.6288,0.1328,0.1429,0.3407,0.2686,0.0318
구로구,오류2동,126.8385,37.4853,0.5294,0.6732,0.1281,0.1429,0.5055,0.1506,0.0196
구로구,항동,126.8246,37.48104,0.1235,0.2985,0.1706,0.0,0.3626,0.0287,0.0042
금천구,가산동,126.8838,37.47666,0.2412,0.5104,0.088,0.4286,0.7143,0.2045,0.2462
금천구,독산1동,126.8925,37.46431,0.3118,0.9136,0.1693,0.0,0.6813,0.2615,0.0607
금천구,독산2동,126.9027,37.46395,0.6824,0.3428,0.0286,0.0,0.1429,0.2831,0.0198
금천구,독산3동,126.9046,37.47579,0.6647,0.4831,0.0541,0.0,0.2198,0.3399,0.0434
금천구,독산4동,126.9041,37.46917,0.7118,0.2849,0.0293,0.0,0.2527,0.2808,0.0239
금천구,시흥1동,126.9001,37.45241,0.6176,0.6107,0.1237,0.1429,0.5604,0.3261,0.0754
금천구,시흥2동,126.9198,37.4509,0.6059,0.3695,0.2034,0.0,0.1538,0.0276,0.0019
금천구,시흥3동,126.906,37.44008,0.7412,0.1853,0.0784,0.0,0.1758,0.1258,0.0119
금천구,시흥4동,126.9093,37.46007,0.7353,0.3519,0.0576,0.0,0.2308,0.2368,0.0104
금천구,시흥5동,126.9124,37.44746,0.7706,0.3294,0.0518,0.0,0.3407,0.1928,0.0199
영등포구,여의동,126.9285,37.52851,0.4882,0.6362,0.6561,0.8571,0.4945,0.1323,0.2161
영등포구,당산1동,126.8968,37.5239,0.4118,0.3964,0.2701,0.2857,0.3736,0.1586,0.0724
영등포구,당산2동,126.9024,37.53411,0.2647,0.6787,0.3818,0.2857,0.5385,0.1266,0.0484
영등포구,양평1동,126.8867,37.52546,0.2765,0.3401,0.2648,0.1429,0.2967,0.1586,0.0336
영등포구,양평2동,126.8906,37.54351,0.2529,0.4207,0.2955,0.1429,0.2747,0.1829,0.0398
영등포구,신길1동,126.9195,37.51243,0.5118,0.3739,0.1279,0.1429,0.2967,0.2324,0.0239
영등포구,신길3동,126.9058,37.50624,0.5588,0.3132,0.1853,0.0,0.2308,0.0938,0.0185
영등포구,신길4동,126.9128,37.50688,0.5765,0.2289,0.1162,0.0,0.1978,0.0469,0.0081
영등포구,신길5동,126.9055,37.50096,0.5882,0.1927,0.1047,0.0,0.2747,0.1688,0.0072
영등포구,신길6동,126.9136,37.49879,0.5059,0.3403,0.1607,0.2857,0.2857,0.181,0.0217
영등포구,신길7동,126.9196,37.50594,0.2706,0.3618,0.285,0.4286,0.3626,0.0748,0.0098
영등포구,대림1동,126.9052,37.49368,0.6765,0.2912,0.0908,0.0,0.1538,0.2383,0.0229
영등포구,대림2동,126.9005,37.48962,0.7235,0.3221,0.1103,0.1429,0.1868,0.3418,0.0495
영등포구,대림3동,126.8971,37.5,0.6765,0.4523,0.152,0.0,0.2967,0.4136,0.0445
영등포구,영등포본동,126.9095,37.51368,0.6,0.4076,0.2231,0.1429,0.2088,0.1623,0.0548
영등포구,영등포동,126.9076,37.52159,0.2059,0.5928,0.2764,0.2857,0.4396,0.2115,0.1677
영등포구,도림동,126.9006,37.50911,0.5529,0.3616,0.1752,0.0,0.3077,0.2011,0.0178
영등포구,문래동,126.8911,37.51653,0.3059,0.5825,0.3608,0.1429,0.3846,0.1657,0.0813
동작구,노량진2동,126.9378,37.51096,0.6,0.1596,0.0604,0.0,0.3407,0.0386,0.0253
동작구,상도1동,126.9534,37.49837,0.3706,0.8544,0.3338,0.2857,0.3187,0.2607,0.0426
동작구,상도2동,126.9419,37.50368,0.3765,0.5049,0.3246,0.1429,0.4835,0.1123,0.0227
동작구,상도3동,126.9329,37.49757,0.5588,0.4402,0.0896,0.0,0.4505,0.2524,0.0201
동작구,상도4동,126.9407,37.49742,0.5353,0.5424,0.0872,0.0,0.3077,0.3134,0.0185
동작구,사당1동,126.9775,37.47979,0.4353,0.4183,0.1421,0.4286,0.4286,0.2717,0.0577
동작구,사당3동,126.971,37.48875,0.5,0.4321,0.3365,0.0,0.2857,0.0836,0.0145
동작구,사당4동,126.9708,37.48054,0.5647,0.2521,0.14,0.1429,0.0879,0.1547,0.0115
동작구,사당5동,126.965,37.4858,0.4588,0.2566,0.1782,0.0,0.2527,0.0852,0.0054
동작구,대방동,126.928,37.5069,0.3882,0.6337,0.2679,0.2857,0.3736,0.1951,0.0282
동작구,신대방1동,126.9107,37.48998,0.4529,0.4559,0.3281,0.0,0.2198,0.1016,0.0189
동작구,신대방2동,126.9217,37.49456,0.3471,0.4118,0.2332,0.2857,0.3626,0.1162,0.0309
동작구,흑석동,126.9622,37.50543,0.4118,0.5964,0.3994,0.1429,0.4945,0.0771,0.0388
동작구,노량진1동,126.949,37.51224,0.4588,0.6342,0.2788,0.4286,0.5495,0.1203,0.0439
동작구,사당2동,126.9748,37.4972,0.5588,0.5193,0.3355,0.4286,0.0659,0.1086,0.0473
관악구,보라매동,126.9326,37.49039,0.5176,0.4362,0.081,0.1429,0.2637,0.2712,0.0591
관악구,청림동,126.9595,37.48956,0.5118,0.265,0.2976,0.0,0.2637,0.0255,0.0069
관악구,행운동,126.9606,37.48097,0.3353,0.54,0.1485,0.0,0.2527,0.3063,0.0373
관악구,낙성대동,126.9598,37.46769,0.1294,0.3349,0.2117,0.0,0.3187,0.205,0.0612
관악구,중앙동,126.9507,37.48415,0.3235,0.287,0.1004,0.0,0.3516,0.1628,0.023
관악구,인헌동,126.9676,37.4697,0.4,0.4694,0.1286,0.1429,0.2308,0.2925,0.0275
관악구,남현동,126.9778,37.46411,0.4176,0.3214,0.2132,0.0,0.0,0.2027,0.0266
관악구,서원동,126.9333,37.4806,0.3294,0.4404,0.0588,0.2857,0.2198,0.3048,0.0512
관악구,신원동,126.9266,37.4794,0.4824,0.3349,0.0571,0.0,0.2308,0.2402,0.0219
관악구,서림동,126.9415,37.47286,0.3941,0.461,0.0811,0.1429,0.4505,0.262,0.017
관악구,신사동,126.9186,37.48583,0.5118,0.2809,0.0623,0.1429,0.3956,0.3571,0.1876
관악구,신림동,126.9272,37.48714,0.0647,0.4498,0.063,0.1429,0.2527,0.2727,0.0671
관악구,난향동,126.9185,37.4615,0.5588,0.2667,0.2185,0.0,0.1648,0.0578,0.0039
관악구,조원동,126.9073,37.48282,0.3706,0.3914,0.0797,0.0,0.2747,0.2467,0.0426
관악구,대학동,126.9485,37.45291,0.3235,0.5309,0.0983,0.1429,0.2418,0.3126,0.0411
관악구,은천동,126.9421,37.487,0.4765,0.593,0.1811,0.0,0.4945,0.2594,0.0355
관악구,성현동,126.951,37.48955,0.5294,0.5521,0.2548,0.0,0.1978,0.0922,0.0089
관악구,청룡동,126.9458,37.47806,0.2059,0.6852,0.1257,0.2857,0.1429,0.2998,0.057
관악구,난곡동,126.9211,37.47064,0.6824,0.4563,0.0319,0.0,0.1538,0.2566,0.0105
관악구,삼성동,126.9301,37.46085,0.8765,0.3724,0.0929,0.0,0.3077,0.0951,0.0119
관악구,미성동,126.9155,37.47593,0.5882,0.5378,0.1085,0.0,0.4066,0.2673,0.0264
서초구,서초1동,127.0201,37.48694,0.3941,0.3733,0.5017,0.1429,0.3956,0.2912,0.0537
서초구,서초2동,127.0279,37.48883,0.2176,0.4635,0.5819,0.2857,0.5495,0.1302,0.0762
서초구,서초3동,127.0095,37.48552,0.4,0.598,0.4847,0.4286,0.6593,0.4301,0.1202
서초구,서초4동,127.0198,37.49895,0.2941,0.5595,0.8223,0.0,0.7033,0.0654,0.0588
서초구,잠원동,127.0127,37.51708,0.3176,0.6247,0.6312,0.1429,0.2198,0.1594,0.0431
서초구,반포본동,126.9876,37.50421,0.4235,0.0,0.6546,0.1429,0.0659,0.2047,0.0084
서초구,반포1동,127.0168,37.50553,0.2176,0.6238,0.6086,0.2857,0.2747,0.0164,0.0375
서초구,반포2동,126.996,37.50722,0.2235,0.4905,0.8856,0.1429,0.1758,0.0138,0.0064
서초구,반포3동,127.004,37.51233,0.3,0.4342,0.7594,0.0,0.1538,0.1881,0.0321
서초구,반포4동,127.0034,37.49955,0.3706,0.3519,0.5978,0.4286,0.3516,0.0188,0.1325
서초구,방배본동,126.9877,37.49505,0.3882,0.3711,0.518,0.0,0.4176,0.2571,0.0352
서초구,방배1동,126.9963,37.48488,0.4765,0.303,0.3702,0.1429,0.4945,0.2824,0.0317
서초구,방배2동,126.9884,37.47321,0.5235,0.3253,0.3317,0.1429,0.3077,0.2326,0.0407
서초구,방배3동,126.9979,37.47437,0.4706,0.2902,0.4852,0.1429,0.1538,0.3175,0.009
서초구,방배4동,126.991,37.48983,0.3941,0.4227,0.462,0.0,0.3407,0.2423,0.0377
서초구,양재1동,127.0225,37.4695,0.4412,0.7584,0.3897,0.1429,0.5714,0.378,0.0727
서초구,양재2동,127.0458,37.45115,0.4118,0.3871,0.211,0.1429,0.4286,0.4368,0.0819
서초구,내곡동,127.0706,37.45586,0.4765,0.3079,0.366,0.1429,0.3516,0.1373,0.0107
강남구,신사동,127.0202,37.52608,0.5118,0.2809,0.0623,0.1429,0.3956,0.3571,0.1876
강남구,논현1동,127.0265,37.51187,0.4,0.397,0.2213,0.5714,0.3407,0.5837,0.1174
강남구,논현2동,127.0362,37.51524,0.4294,0.3773,0.3523,0.5714,0.3407,0.634,0.1366
강남구,삼성1동,127.0608,37.5153,0.4765,0.2388,0.5635,0.2857,0.3516,0.2475,0.1264
강남구,삼성2동,127.0488,37.51186,0.2882,0.5642,0.5554,0.2857,0.2418,0.3204,0.0659
강남구,대치1동,127.0591,37.49336,0.1529,0.4393,1.0,0.1429,0.2967,0.0375,0.0119
강남구,대치4동,127.0548,37.50157,0.2941,0.3417,0.3762,0.0,0.3516,0.3756,0.0976
강남구,역삼1동,127.0355,37.50084,0.2882,0.6598,0.2834,1.0,0.3407,0.8778,0.3245
강남구,역삼2동,127.0449,37.49848,0.1824,0.6745,0.6141,0.0,0.2418,0.4118,0.0721
강남구,도곡1동,127.041,37.48889,0.3412,0.3831,0.6226,0.1429,0.5824,0.1349,0.0301
강남구,도곡2동,127.0498,37.48828,0.3353,0.596,0.8396,0.2857,0.1648,0.1013,0.0405
강남구,개포1동,127.0623,37.47778,0.2882,0.4946,0.6083,0.0,0.1429,0.0081,0.0008
강남구,개포4동,127.0534,37.47533,0.3941,0.4266,0.2727,0.0,0.6264,0.293,0.0274
강남구,일원본동,127.0845,37.48231,0.3118,0.4128,0.6286,0.1429,0.2308,0.0443,0.0042
강남구,일원1동,127.0892,37.49347,0.6529,0.2617,0.1736,0.0,0.1209,0.2709,0.0187
강남구,일원2동,127.0788,37.49629,0.0,0.0,0.4611,0.1429,0.1978,0.0,0.0052
강남구,수서동,127.1001,37.48692,1.0,0.2485,0.3285,0.4286,0.2637,0.0336,0.016
강남구,세곡동,127.1043,37.47066,0.3118,0.8537,0.3356,0.0,0.6703,0.2568,0.019
강남구,압구정동,127.0343,37.52975,0.5059,0.4732,0.697,0.2857,0.2418,0.2743,0.1842
강남구,청담동,127.0505,37.52439,0.3882,0.4443,0.547,0.0,0.2418,0.4321,0.1327
강남구,대치2동,127.0657,37.50099,0.2882,0.7132,0.7362,0.5714,0.2527,0.1865,0.0688
강남구,개포2동,127.069,37.48467,0.2294,0.7814,0.5818,0.4286,0.2747,0.0597,0.0137
송파구,풍납1동,127.1147,37.53844,0.7059,0.2074,0.1714,0.1429,0.044,0.0753,0.0093
송파구,풍납2동,127.1082,37.53017,0.4294,0.4276,0.3368,0.0,0.1319,0.1566,0.0145
송파구,거여1동,127.1419,37.49475,0.6353,0.2159,0.1296,0.1429,0.2088,0.1334,0.0144
송파구,거여2동,127.1483,37.49212,0.5118,0.4282,0.1755,0.0,0.1978,0.1102,0.0134
송파구,마천1동,127.156,37.49532,0.7471,0.2819,0.0632,0.1429,0.1868,0.1881,0.0142
송파구,마천2동,127.1506,37.50053,0.7882,0.3144,0.0451,0.0,0.0879,0.2337,0.0262
송파구,방이1동,127.1225,37.50985,0.4118,0.275,0.3516,0.1429,0.1978,0.1753,0.0325
송파구,방이2동,127.1139,37.51325,0.3588,0.4954,0.1558,0.1429,0.1538,0.4126,0.0903
송파구,오륜동,127.1288,37.51743,0.4176,0.3226,0.7508,0.4286,0.1429,0.0068,0.0098
송파구,오금동,127.134,37.504,0.5235,0.6981,0.2652,0.1429,0.3626,0.3485,0.0403
송파구,송파1동,127.1104,37.50718,0.4059,0.4263,0.1935,0.0,0.2088,0.4222,0.0697
송파구,송파2동,127.117,37.50285,0.4118,0.3589,0.4269,0.0,0.2088,0.1203,0.0184
송파구,석촌동,127.1025,37.50273,0.4294,0.5678,0.1557,0.4286,0.1429,0.5809,0.0763
송파구,삼전동,127.0919,37.5019,0.4,0.5314,0.1279,0.0,0.2198,0.5064,0.0415
송파구,가락본동,127.1217,37.49702,0.4765,0.4584,0.2673,0.1429,0.2747,0.0042,0.0782
송파구,가락1동,127.1083,37.49519,0.2412,0.5046,0.5401,0.4286,0.1319,0.2589,0.0163
송파구,가락2동,127.1308,37.49585,0.3706,0.5606,0.3403,0.2857,0.2747,0.2855,0.0319
송파구,문정1동,127.1269,37.48844,0.4353,0.3647,0.2761,0.0,0.2308,0.2191,0.0326
송파구,문정2동,127.1191,37.4812,0.3471,0.5319,0.4371,0.4286,0.3516,0.0237,0.163
송파구,잠실본동,127.0826,37.50599,0.3882,0.5139,0.1842,0.1429,0.1209,0.0083,0.0985
송파구,잠실4동,127.1092,37.5207,0.2647,0.3864,0.7344,0.2857,0.1868,0.0094,0.0028
송파구,잠실6동,127.0995,37.51977,0.4412,0.3021,0.5897,0.2857,0.1429,0.0034,0.0699
송파구,잠실7동,127.0739,37.50732,0.6235,0.17,0.7357,0.2857,0.1209,0.4947,0.002
송파구,잠실2동,127.0793,37.51743,0.1471,0.6424,0.7992,0.1429,0.022,0.0068,0.0196
송파구,잠실3동,127.0942,37.5139,0.4118,0.622,0.6301,0.0,0.2637,0.0039,0.0754
송파구,장지동,127.1315,37.48297,0.4412,0.5713,0.2188,0.1429,0.5055,0.1753,0.0185
송파구,위례동,127.1407,37.48121,0.0,0.8354,0.3953,0.0,0.4286,0.0099,0.0169
강동구,강일동,127.1743,37.56354,0.3765,0.6389,0.183,0.2857,0.7143,0.0255,0.0107
강동구,상일동,127.1648,37.55066,0.0,0.0,0.299,0.1429,0.5165,0.0,0.0221
강동구,명일1동,127.1459,37.55035,0.4118,0.4577,0.2708,0.1429,0.3626,0.1284,0.0473
강동구,명일2동,127.1543,37.54824,0.3824,0.311,0.4538,0.1429,0.2198,0.0831,0.0173
강동구,고덕1동,127.1509,37.56171,0.2294,0.438,0.4734,0.0,0.1868,0.1706,0.0085
강동구,고덕2동,127.162,37.56498,0.2412,0.4874,0.0688,0.0,0.1099,0.2706,0.0203
강동구,암사2동,127.1237,37.55703,0.4412,0.2682,0.2986,0.1429,0.0659,0.0904,0.0143
강동구,암사3동,127.1386,37.56119,0.3647,0.3103,0.4456,0.1429,0.044,0.0771,0.0047
강동구,천호1동,127.1385,37.54633,0.6412,0.4684,0.0703,0.1429,0.1978,0.3462,0.0287
강동구,천호3동,127.1333,37.53969,0.5176,0.4941,0.2003,0.0,0.3736,0.2688,0.0494
강동구,성내1동,127.1255,37.52869,0.4294,0.3525,0.2516,0.1429,0.3297,0.2053,0.0349
강동구,성내2동,127.1277,37.5344,0.5471,0.4572,0.1363,0.2857,0.2088,0.3345,0.0408
강동구,성내3동,127.1338,37.52835,0.5529,0.4048,0.15,0.0,0.2418,0.3269,0.0647
강동구,둔촌1동,127.1404,37.52307,0.5294,0.6008,0.2814,0.2857,0.0989,0.0047,0.0
강동구,둔촌2동,127.1472,37.53131,0.4882,0.4662,0.2471,0.1429,0.3077,0.2303,0.0283
강동구,암사1동,127.1346,37.55185,0.5706,0.6119,0.1415,0.0,0.2418,0.4733,0.038
강동구,천호2동,127.122,37.54499,0.5588,0.6569,0.1222,0.0,0.1209,0.4379,0.1275
강동구,길동,127.146,37.5397,0.5529,0.899,0.1393,0.1429,0.2637,0.453,0.0866
